id	offset_octets	longueur_octets	type	resume
Errors.node.js_error_codes.`err_invalid_cursor_pos`	2390969	420	module	A cursor on a given stream cannot be moved to a specified row without a specified column.
Errors.node.js_error_codes.`err_invalid_fd`	2391389	330	module	A file descriptor ('fd') was not valid (e.g.
Errors.node.js_error_codes.`err_invalid_fd_type`	2391719	319	module	A file descriptor ('fd') type was not valid.
Errors.node.js_error_codes.`err_invalid_file_url_host`	2392038	622	module	A Node.js API that consumes file: URLs (such as certain functions in the fs module) encountered a file URL with an incompatible host.
Errors.node.js_error_codes.`err_invalid_file_url_path`	2392660	712	module	A Node.js API that consumes file: URLs (such as certain functions in the fs module) encountered a file URL with an incompatible path.
Errors.node.js_error_codes.`err_invalid_handle_type`	2393372	523	module	An attempt was made to send an unsupported "handle" over an IPC communication channel to a child process.
Errors.node.js_error_codes.`err_invalid_http_token`	2393895	310	module	An invalid HTTP token was supplied.
Errors.node.js_error_codes.`err_invalid_ip_address`	2394205	294	module	An IP address is not valid.
Errors.node.js_error_codes.`err_invalid_mime_syntax`	2394499	311	module	The syntax of a MIME is not valid.
Errors.node.js_error_codes.`err_invalid_module`	2394810	398	module	An attempt was made to load a module that does not exist or was otherwise not valid.
Errors.node.js_error_codes.`err_invalid_module_specifier`	2395208	438	module	The imported module string is an invalid URL, package name, or package subpath specifier.
Errors.node.js_error_codes.`err_invalid_object_define_property`	2395646	442	module	An error occurred while setting an invalid attribute on the property of an object.
Errors.node.js_error_codes.`err_invalid_package_config`	2396088	340	module	An invalid package.json file failed parsing.
Errors.node.js_error_codes.`err_invalid_package_target`	2396428	478	module	The package.json "exports" field contains an invalid target mapping value for the attempted module resolution.
Errors.node.js_error_codes.`err_invalid_protocol`	2396906	348	module	An invalid options.protocol was passed to http.request().
Errors.node.js_error_codes.`err_invalid_repl_eval_config`	2397254	444	module	Both breakEvalOnSigint and eval options were set in the REPL config, which is not supported.
Errors.node.js_error_codes.`err_invalid_repl_input`	2397698	404	module	The input may not be used in the REPL.
Errors.node.js_error_codes.`err_invalid_return_property`	2398102	495	module	Thrown in case a function option does not provide a valid value for one of its returned object properties on execution.
Errors.node.js_error_codes.`err_invalid_return_property_value`	2398597	531	module	Thrown in case a function option does not provide an expected value type for one of its returned object properties on execution.
Errors.node.js_error_codes.`err_invalid_return_value`	2399128	532	module	Thrown in case a function option does not return an expected value type on execution, such as when a function is expected to return a promise.
Errors.node.js_error_codes.`err_invalid_state`	2399660	468	module	Indicates that an operation cannot be completed due to an invalid state.
Errors.node.js_error_codes.`err_invalid_sync_fork_input`	2400128	519	module	A Buffer, TypedArray, DataView, or string was provided as stdio input to an asynchronous fork.
Errors.node.js_error_codes.`err_invalid_this`	2400647	544	module	A Node.js API function was called with an incompatible this value.
Errors.node.js_error_codes.`err_invalid_tuple`	2401191	639	module	An element in the iterable provided to the WHATWG URLSearchParams constructor did not represent a [name, value] tuple – that is, if an element is not iterable, or does not consist of exactly two eleme
Errors.node.js_error_codes.`err_invalid_typescript_syntax`	2401830	349	module	The provided TypeScript syntax is not valid.
Errors.node.js_error_codes.`err_invalid_uri`	2402179	271	module	An invalid URI was passed.
Errors.node.js_error_codes.`err_invalid_url`	2402450	526	module	An invalid URL was passed to the WHATWG URL constructor or the legacy url.parse() to be parsed.
Errors.node.js_error_codes.`err_invalid_url_scheme`	2402976	600	module	An attempt was made to use a URL of an incompatible scheme (protocol) for a specific purpose.
Errors.node.js_error_codes.`err_ipc_channel_closed`	2403576	400	module	An attempt was made to use an IPC communication channel that was already closed.
Errors.node.js_error_codes.`err_ipc_disconnected`	2403976	496	module	An attempt was made to disconnect an IPC communication channel that was already disconnected.
Errors.node.js_error_codes.`err_ipc_one_pipe`	2404472	498	module	An attempt was made to create a child Node.js process using more than one IPC communication channel.
Errors.node.js_error_codes.`err_ipc_sync_fork`	2404970	503	module	An attempt was made to open an IPC communication channel with a synchronously forked Node.js process.
Errors.node.js_error_codes.`err_ip_blocked`	2405473	278	module	IP is blocked by net.BlockList.
Errors.node.js_error_codes.`err_loader_chain_incomplete`	2405751	457	module	An ESM loader hook returned without calling next() and without explicitly signaling a short circuit.
Errors.node.js_error_codes.`err_load_sqlite_extension`	2406208	351	module	An error occurred while loading a SQLite extension.
Errors.node.js_error_codes.`err_memory_allocation_failed`	2406559	420	module	An attempt was made to allocate memory (usually in the C++ layer) but it failed.
Errors.node.js_error_codes.`err_message_target_context_unavailable`	2406979	645	module	A message posted to a MessagePort could not be deserialized in the target vm Context.
Errors.node.js_error_codes.`err_method_not_implemented`	2407624	334	module	A method is required but not implemented.
Errors.node.js_error_codes.`err_missing_args`	2407958	604	module	A required argument of a Node.js API was not passed.
Errors.node.js_error_codes.`err_missing_option`	2408562	422	module	For APIs that accept options objects, some options might be mandatory.
Errors.node.js_error_codes.`err_missing_passphrase`	2408984	394	module	An attempt was made to read an encrypted key without specifying a passphrase.
Errors.node.js_error_codes.`err_missing_platform_for_worker`	2409378	566	module	The V8 platform used by this instance of Node.js does not support creating Workers.
Errors.node.js_error_codes.`err_module_link_mismatch`	2409944	452	module	A module can not be linked because the same module requests in it are not resolved to the same module.
Errors.node.js_error_codes.`err_module_not_found`	2410396	528	module	A module file could not be resolved by the ECMAScript modules loader while attempting an import operation or when loading the program entry point.
Errors.node.js_error_codes.`err_multiple_callback`	2410924	518	module	A callback was called more than once.
Errors.node.js_error_codes.`err_napi_cons_function`	2411442	364	module	While using Node-API, a constructor passed was not a function.
Errors.node.js_error_codes.`err_napi_invalid_dataview_args`	2411806	570	module	While calling napi_create_dataview(), a given offset was outside the bounds of the dataview or offset + length was larger than a length of given buffer.
Errors.node.js_error_codes.`err_napi_invalid_typedarray_alignment`	2412376	485	module	While calling napi_create_typedarray(), the provided offset was not a multiple of the element size.
Errors.node.js_error_codes.`err_napi_invalid_typedarray_length`	2412861	524	module	While calling napi_create_typedarray(), (length * size_of_element) + byte_offset was larger than the length of given buffer.
Errors.node.js_error_codes.`err_napi_tsfn_call_js`	2413385	407	module	An error occurred while invoking the JavaScript portion of the thread-safe function.
Errors.node.js_error_codes.`err_napi_tsfn_get_undefined`	2413792	413	module	An error occurred while attempting to retrieve the JavaScript undefined value.
Errors.node.js_error_codes.`err_non_context_aware_disabled`	2414205	418	module	A non-context-aware native addon was loaded in a process that disallows them.
Errors.node.js_error_codes.`err_not_building_snapshot`	2414623	517	module	An attempt was made to use operations that can only be used when building V8 startup snapshot even though Node.js isn't building one.
Errors.node.js_error_codes.`err_not_in_single_executable_application`	2415140	462	module	The operation cannot be performed when it's not in a single-executable application.
Errors.node.js_error_codes.`err_not_supported_in_snapshot`	2415602	459	module	An attempt was made to perform operations that are not supported when building a startup snapshot.
Errors.node.js_error_codes.`err_no_crypto`	2416061	419	module	An attempt was made to use crypto features while Node.js was not compiled with OpenSSL crypto support.
Errors.node.js_error_codes.`err_no_icu`	2416480	406	module	An attempt was made to use features that require ICU, but Node.js was not compiled with ICU support.
Errors.node.js_error_codes.`err_no_typescript`	2416886	485	module	An attempt was made to use features that require Native TypeScript support, but Node.js was not compiled with TypeScript support.
Errors.node.js_error_codes.`err_operation_failed`	2417371	358	module	An operation failed.
Errors.node.js_error_codes.`err_options_before_bootstrapping`	2417729	418	module	An attempt was made to get options before the bootstrapping was completed.
Errors.node.js_error_codes.`err_out_of_range`	2418147	308	module	A given value is out of the accepted range.
Errors.node.js_error_codes.`err_package_import_not_defined`	2418455	458	module	The package.json "imports" field does not define the given internal package specifier mapping.
Errors.node.js_error_codes.`err_package_path_not_exported`	2418913	571	module	The package.json "exports" field does not export the requested subpath.
Errors.node.js_error_codes.`err_parse_args_invalid_option_value`	2419484	651	module	When strict set to true, thrown by util.parseArgs() if a <boolean> value is provided for an option of type <string>, or if a <string> value is provided for an option of type <boolean>.
Errors.node.js_error_codes.`err_parse_args_unexpected_positional`	2420135	492	module	Thrown by util.parseArgs(), when a positional argument is provided and allowPositionals is set to false.
Errors.node.js_error_codes.`err_parse_args_unknown_option`	2420627	455	module	When strict set to true, thrown by util.parseArgs() if an argument is not configured in options.
Errors.node.js_error_codes.`err_performance_invalid_timestamp`	2421082	421	module	An invalid timestamp value was provided for a performance mark or measure.
Errors.node.js_error_codes.`err_performance_measure_invalid_options`	2421503	403	module	Invalid options were provided for a performance measure.
Errors.node.js_error_codes.`err_proto_access`	2421906	500	module	Accessing Object.prototype.__proto__ has been forbidden using --disable-proto=throw.
Errors.node.js_error_codes.`err_proxy_invalid_config`	2422406	384	module	Failed to proxy a request because the proxy configuration is invalid.
Errors.node.js_error_codes.`err_proxy_tunnel`	2422790	396	module	Failed to establish proxy tunnel when NODE_USE_ENV_PROXY or --use-env-proxy is enabled.
Errors.node.js_error_codes.`err_quic_application_error`	2423186	320	module	A QUIC application error occurred.
Errors.node.js_error_codes.`err_quic_connection_failed`	2423506	328	module	Establishing a QUIC connection failed.
Errors.node.js_error_codes.`err_quic_endpoint_closed`	2423834	320	module	A QUIC Endpoint closed with an error.
Errors.node.js_error_codes.`err_quic_open_stream_failed`	2424154	313	module	Opening a QUIC stream failed.
Errors.node.js_error_codes.`err_quic_transport_error`	2424467	310	module	A QUIC transport error occurred.
Errors.node.js_error_codes.`err_quic_version_negotiation_error`	2424777	400	module	A QUIC session failed because version negotiation is required.
Errors.node.js_error_codes.`err_require_async_module`	2425177	593	module	When trying to require() a ES Module, the module turns out to be asynchronous.
Errors.node.js_error_codes.`err_require_cycle_module`	2425770	791	module	When trying to require() a ES Module, a CommonJS to ESM or ESM to CommonJS edge participates in an immediate cycle.
Errors.node.js_error_codes.`err_require_esm`	2426561	524	module	An attempt was made to require() an ES Module.
Errors.node.js_error_codes.`err_script_execution_interrupted`	2427085	426	module	Script execution was interrupted by SIGINT (For example, Ctrl+C was pressed.)
Errors.node.js_error_codes.`err_script_execution_timeout`	2427511	414	module	Script execution timed out, possibly due to bugs in the script being executed.
Errors.node.js_error_codes.`err_server_already_listen`	2427925	507	module	The server.listen() method was called while a net.Server was already listening.
Errors.node.js_error_codes.`err_server_not_running`	2428432	482	module	The server.close() method was called when a net.Server was not running.
Errors.node.js_error_codes.`err_single_executable_application_asset_not_found`	2428914	533	module	A key was passed to single executable application APIs to identify an asset, but no match could be found.
Errors.node.js_error_codes.`err_socket_already_bound`	2429447	376	module	An attempt was made to bind a socket that has already been bound.
Errors.node.js_error_codes.`err_socket_bad_buffer_size`	2429823	490	module	An invalid (negative) size was passed for either the recvBufferSize or sendBufferSize options in dgram.createSocket().
Errors.node.js_error_codes.`err_socket_bad_port`	2430313	383	module	An API function expecting a port >= 0 and < 65536 received an invalid value.
Errors.node.js_error_codes.`err_socket_bad_type`	2430696	395	module	An API function expecting a socket type (udp4 or udp6) received an invalid value.
Errors.node.js_error_codes.`err_socket_buffer_size`	2431091	436	module	While using dgram.createSocket(), the size of the receive or send Buffer could not be determined.
Errors.node.js_error_codes.`err_socket_closed`	2431527	343	module	An attempt was made to operate on an already closed socket.
Errors.node.js_error_codes.`err_socket_closed_before_connection`	2431870	519	module	When calling net.Socket.write() on a connecting socket and the socket was closed before the connection was established.
Errors.node.js_error_codes.`err_socket_connection_timeout`	2432389	545	module	The socket was unable to connect to any address returned by the DNS within the allowed timeout when using the family autoselection algorithm.
Errors.node.js_error_codes.`err_socket_dgram_is_connected`	2432934	387	module	A dgram.connect() call was made on an already connected socket.
Errors.node.js_error_codes.`err_socket_dgram_not_connected`	2433321	436	module	A dgram.disconnect() or dgram.remoteAddress() call was made on a disconnected socket.
Errors.node.js_error_codes.`err_socket_dgram_not_running`	2433757	366	module	A call was made and the UDP subsystem was not running.
Errors.node.js_error_codes.`err_source_map_corrupt`	2434123	392	module	The source map could not be parsed because it does not exist, or is corrupt.
Errors.node.js_error_codes.`err_source_map_missing_source`	2434515	357	module	A file imported from a source map was not found.
Errors.node.js_error_codes.`err_sqlite_error`	2434872	290	module	An error was returned from SQLite.
Errors.node.js_error_codes.`err_sri_parse`	2435162	482	module	A string was provided for a Subresource Integrity check, but was unable to be parsed.
Errors.node.js_error_codes.`err_stream_already_finished`	2435644	417	module	A stream method was called that cannot complete because the stream was finished.
Errors.node.js_error_codes.`err_stream_cannot_pipe`	2436061	366	module	An attempt was made to call stream.pipe() on a Writable stream.
Errors.node.js_error_codes.`err_stream_destroyed`	2436427	444	module	A stream method was called that cannot complete because the stream was destroyed using stream.destroy().
Errors.node.js_error_codes.`err_stream_null_values`	2436871	362	module	An attempt was made to call stream.write() with a null chunk.
Errors.node.js_error_codes.`err_stream_premature_close`	2437233	520	module	An error returned by stream.finished() and stream.pipeline(), when a stream or a pipeline ends non gracefully with no explicit error.
Errors.node.js_error_codes.`err_stream_push_after_eof`	2437753	431	module	An attempt was made to call stream.push() after a null(EOF) had been pushed to the stream.
Errors.node.js_error_codes.`err_stream_unshift_after_end_event`	2438184	436	module	An attempt was made to call stream.unshift() after the 'end' event was emitted.
Errors.node.js_error_codes.`err_stream_wrap`	2438620	522	module	Prevents an abort if a string decoder was set on the Socket or if the decoder is in objectMode.
Errors.node.js_error_codes.`err_stream_write_after_end`	2439142	410	module	An attempt was made to call stream.write() after stream.end() has been called.
Errors.node.js_error_codes.`err_string_too_long`	2439552	399	module	An attempt has been made to create a string longer than the maximum allowed length.
Errors.node.js_error_codes.`err_synthetic`	2439951	377	module	An artificial error object used to capture the call stack for diagnostic reports.
Errors.node.js_error_codes.`err_system_error`	2440328	473	module	An unspecified or non-specific system error has occurred within the Node.js process.
Errors.node.js_error_codes.`err_test_failure`	2440801	460	module	This error represents a failed test.
Errors.node.js_error_codes.`err_tls_alpn_callback_invalid_result`	2441261	528	module	This error is thrown when an ALPNCallback returns a value that is not in the list of ALPN protocols offered by the client.
Errors.node.js_error_codes.`err_tls_alpn_callback_with_protocols`	2441789	542	module	This error is thrown when creating a TLSServer if the TLS options include both ALPNProtocols and ALPNCallback.
Errors.node.js_error_codes.`err_tls_cert_altname_format`	2442331	595	module	This error is thrown by checkServerIdentity if a user-supplied subjectaltname property violates encoding rules.
Errors.node.js_error_codes.`err_tls_cert_altname_invalid`	2442926	472	module	While using TLS, the host name/IP of the peer did not match any of the subjectAltNames in its certificate.
Errors.node.js_error_codes.`err_tls_dh_param_size`	2443398	632	module	While using TLS, the parameter offered for the Diffie-Hellman (DH) key-agreement protocol is too small.
Errors.node.js_error_codes.`err_tls_handshake_timeout`	2444030	367	module	A TLS/SSL handshake timed out.
Errors.node.js_error_codes.`err_tls_invalid_context`	2444397	315	module	The context must be a SecureContext.
Errors.node.js_error_codes.`err_tls_invalid_protocol_method`	2444712	423	module	The specified secureProtocol method is invalid.
Errors.node.js_error_codes.`err_tls_invalid_protocol_version`	2445135	400	module	Valid TLS protocol versions are 'TLSv1', 'TLSv1.1', or 'TLSv1.2'.
Errors.node.js_error_codes.`err_tls_invalid_state`	2445535	410	module	The TLS socket must be connected and securely established.
Errors.node.js_error_codes.`err_tls_protocol_version_conflict`	2445945	549	module	Attempting to set a TLS protocol minVersion or maxVersion conflicts with an attempt to set the secureProtocol explicitly.
Errors.node.js_error_codes.`err_tls_psk_set_identiy_hint_failed`	2446494	365	module	Failed to set PSK identity hint.
Errors.node.js_error_codes.`err_tls_renegotiation_disabled`	2446859	442	module	An attempt was made to renegotiate TLS on a socket instance with renegotiation disabled.
Errors.node.js_error_codes.`err_tls_required_server_name`	2447301	484	module	While using TLS, the server.addContext() method was called without providing a host name in the first parameter.
Errors.node.js_error_codes.`err_tls_session_attack`	2447785	468	module	An excessive amount of TLS renegotiations is detected, which is a potential vector for denial-of-service attacks.
Errors.node.js_error_codes.`err_tls_sni_from_server`	2448253	479	module	An attempt was made to issue Server Name Indication from a TLS server-side socket, which is only valid from a client.
Errors.node.js_error_codes.`err_trace_events_category_required`	2448732	444	module	The trace_events.createTracing() method requires at least one trace event category.
Errors.node.js_error_codes.`err_trace_events_unavailable`	2449176	488	module	The node:trace_events module could not be loaded because Node.js was compiled with the --without-v8-platform flag.
Errors.node.js_error_codes.`err_trailing_junk_after_stream_end`	2449664	541	module	Trailing junk found after the end of the compressed stream.
Errors.node.js_error_codes.`err_transform_already_transforming`	2450205	396	module	A Transform stream finished while it was still transforming.
Errors.node.js_error_codes.`err_transform_with_length_0`	2450601	383	module	A Transform stream finished with data still in the write buffer.
Errors.node.js_error_codes.`err_tty_init_failed`	2450984	345	module	The initialization of a TTY failed due to a system error.
Errors.node.js_error_codes.`err_unavailable_during_exit`	2451329	487	module	Function was called within a process.on('exit') handler that shouldn't be called within process.on('exit') handler.
Errors.node.js_error_codes.`err_uncaught_exception_capture_already_set`	2451816	624	module	process.setUncaughtExceptionCaptureCallback() was called twice, without first resetting the callback to null.
Errors.node.js_error_codes.`err_unescaped_characters`	2452440	362	module	A string that contained unescaped characters was received.
Errors.node.js_error_codes.`err_unhandled_error`	2452802	507	module	An unhandled error occurred (for instance, when an 'error' event is emitted by an EventEmitter but an 'error' handler is not registered).
Errors.node.js_error_codes.`err_unknown_builtin_module`	2453309	560	module	Used to identify a specific kind of internal Node.js error that should not typically be triggered by user code.
Errors.node.js_error_codes.`err_unknown_credential`	2453869	366	module	A Unix group or user identifier that does not exist was passed.
Errors.node.js_error_codes.`err_unknown_encoding`	2454235	352	module	An invalid or unknown encoding option was passed to an API.
Errors.node.js_error_codes.`err_unknown_file_extension`	2454587	420	module	An attempt was made to load a module with an unknown or unsupported file extension.
Errors.node.js_error_codes.`err_unknown_module_format`	2455007	399	module	An attempt was made to load a module with an unknown or unsupported format.
Errors.node.js_error_codes.`err_unknown_signal`	2455406	452	module	An invalid or unknown process signal was passed to an API expecting a valid signal (such as subprocess.kill()).
Errors.node.js_error_codes.`err_unsupported_dir_import`	2455858	561	module	import a directory URL is unsupported.
Errors.node.js_error_codes.`err_unsupported_esm_url_scheme`	2456419	392	module	import with URL schemes other than file and data is unsupported.
Errors.node.js_error_codes.`err_unsupported_node_modules_type_stripping`	2456811	465	module	Type stripping is not supported for files descendent of a node_modules directory.
Errors.node.js_error_codes.`err_unsupported_resolve_request`	2457276	861	module	An attempt was made to resolve an invalid module referrer.
Errors.node.js_error_codes.`err_unsupported_typescript_syntax`	2458137	464	module	The provided TypeScript syntax is unsupported.
Errors.node.js_error_codes.`err_use_after_close`	2458601	353	module	An attempt was made to use something that was already closed.
Errors.node.js_error_codes.`err_valid_performance_entry_type`	2458954	464	module	While using the Performance Timing API (perf_hooks), no valid performance entry types are found.
Errors.node.js_error_codes.`err_vm_dynamic_import_callback_missing`	2459418	376	module	A dynamic import callback was not specified.
Errors.node.js_error_codes.`err_vm_dynamic_import_callback_missing_flag`	2459794	447	module	A dynamic import callback was invoked without --experimental-vm-modules.
Errors.node.js_error_codes.`err_vm_module_already_linked`	2460241	740	module	The module attempted to be linked is not eligible for linking, because of one of the following reasons: It has already been linked (linkingStatus is 'linked') It is being linked (linkingStatus is 'li
Errors.node.js_error_codes.`err_vm_module_cached_data_rejected`	2460981	404	module	The cachedData option passed to a module constructor is invalid.
Errors.node.js_error_codes.`err_vm_module_cannot_create_cached_data`	2461385	443	module	Cached data cannot be created for modules which have already been evaluated.
Errors.node.js_error_codes.`err_vm_module_different_context`	2461828	517	module	The module being returned from the linker function is from a different context than the parent module.
Errors.node.js_error_codes.`err_vm_module_link_failure`	2462345	356	module	The module was unable to be linked due to a failure.
Errors.node.js_error_codes.`err_vm_module_not_module`	2462701	380	module	The fulfilled value of a linking promise is not a vm.Module object.
Errors.node.js_error_codes.`err_vm_module_status`	2463081	427	module	The current module's status does not allow for this operation.
Errors.node.js_error_codes.`err_wasi_already_started`	2463508	322	module	The WASI instance has already started.
Errors.node.js_error_codes.`err_wasi_not_started`	2463830	312	module	The WASI instance has not been started.
Errors.node.js_error_codes.`err_webassembly_not_supported`	2464142	597	module	A feature requiring WebAssembly was used, but WebAssembly is not supported or has been disabled in the current environment (for example, when running with --jitless).
Errors.node.js_error_codes.`err_webassembly_response`	2464739	530	module	The Response that has been passed to WebAssembly.compileStreaming or to WebAssembly.instantiateStreaming is not a valid WebAssembly response.
Errors.node.js_error_codes.`err_worker_init_failed`	2465269	306	module	The Worker initialization failed.
Errors.node.js_error_codes.`err_worker_invalid_exec_argv`	2465575	412	module	The execArgv option passed to the Worker constructor contains invalid flags.
Errors.node.js_error_codes.`err_worker_messaging_errored`	2465987	450	module	The destination thread threw an error while processing a message sent via postMessageToThread().
Errors.node.js_error_codes.`err_worker_messaging_failed`	2466437	435	module	The thread requested in postMessageToThread() is invalid or has no workerMessage listener.
Errors.node.js_error_codes.`err_worker_messaging_same_thread`	2466872	418	module	The thread id requested in postMessageToThread() is the current thread id.
Errors.node.js_error_codes.`err_worker_messaging_timeout`	2467290	366	module	Sending a message via postMessageToThread() timed out.
Errors.node.js_error_codes.`err_worker_not_running`	2467656	386	module	An operation failed because the Worker instance is not currently running.
Errors.node.js_error_codes.`err_worker_out_of_memory`	2468042	380	module	The Worker instance terminated because it reached its memory limit.
Errors.node.js_error_codes.`err_worker_path`	2468422	447	module	The path for the main script of a worker is neither an absolute path nor a relative path starting with ./ or ../.
Errors.node.js_error_codes.`err_worker_unserializable_error`	2468869	423	module	All attempts at serializing an uncaught exception from a worker thread failed.
Errors.node.js_error_codes.`err_worker_unsupported_operation`	2469292	396	module	The requested functionality is not supported in worker threads.
Errors.node.js_error_codes.`err_zlib_initialization_failed`	2469688	392	module	Creation of a zlib object failed due to incorrect configuration.
Errors.node.js_error_codes.`err_zstd_invalid_param`	2470080	386	module	An invalid parameter key was passed during construction of a Zstd stream.
Errors.node.js_error_codes.`hpe_chunk_extensions_overflow`	2470466	513	module	Too much data was received for a chunk extensions.
Errors.node.js_error_codes.`hpe_header_overflow`	2470979	561	module	Too much HTTP header data was received.
Errors.node.js_error_codes.`hpe_unexpected_content_length`	2471540	654	module	Server is sending both a Content-Length header and Transfer-Encoding: chunked.
Errors.node.js_error_codes.`module_not_found`	2472194	514	module	A module file could not be resolved by the CommonJS modules loader while attempting a require() operation or when loading the program entry point.
Errors.legacy_node.js_error_codes.`err_cannot_transfer_object`	2472708	447	module	The value passed to postMessage() contained an object that is not supported for transferring.
Errors.legacy_node.js_error_codes.`err_cpu_usage`	2473155	342	module	The native call from process.cpuUsage could not be processed.
Errors.legacy_node.js_error_codes.`err_crypto_hash_digest_no_utf16`	2473497	573	module	The UTF-16 encoding was used with hash.digest().
Errors.legacy_node.js_error_codes.`err_http2_frame_error`	2474070	400	module	Used when a failure occurs sending an individual frame on the HTTP/2 session.
Errors.legacy_node.js_error_codes.`err_http2_headers_object`	2474470	347	module	Used when an HTTP/2 Headers Object is expected.
Errors.legacy_node.js_error_codes.`err_http2_header_required`	2474817	376	module	Used when a required header is missing in an HTTP/2 message.
Errors.legacy_node.js_error_codes.`err_http2_info_headers_after_respond`	2475193	505	module	HTTP/2 informational headers must only be sent prior to calling the Http2Stream.prototype.respond() method.
Errors.legacy_node.js_error_codes.`err_http2_stream_closed`	2475698	428	module	Used when an action has been performed on an HTTP/2 Stream that has already been closed.
Errors.legacy_node.js_error_codes.`err_http_invalid_char`	2476126	428	module	Used when an invalid character is found in an HTTP response status message (reason phrase).
Errors.legacy_node.js_error_codes.`err_import_assertion_type_failed`	2476554	435	module	An import assertion has failed, preventing the specified module to be imported.
Errors.legacy_node.js_error_codes.`err_import_assertion_type_missing`	2476989	438	module	An import assertion is missing, preventing the specified module to be imported.
Errors.legacy_node.js_error_codes.`err_import_assertion_type_unsupported`	2477427	420	module	An import attribute is not supported by this version of Node.js.
Errors.legacy_node.js_error_codes.`err_index_out_of_range`	2477847	364	module	A given index was out of the accepted range (e.g.
Errors.legacy_node.js_error_codes.`err_invalid_opt_value`	2478211	370	module	An invalid or unexpected value was passed in an options object.
Errors.legacy_node.js_error_codes.`err_invalid_opt_value_encoding`	2478581	365	module	An invalid or unknown file encoding was passed.
Errors.legacy_node.js_error_codes.`err_invalid_performance_mark`	2478946	433	module	While using the Performance Timing API (perf_hooks), a performance mark is invalid.
Errors.legacy_node.js_error_codes.`err_invalid_transfer_object`	2479379	372	module	An invalid transfer object was passed to postMessage().
Errors.legacy_node.js_error_codes.`err_manifest_assert_integrity`	2479751	568	module	An attempt was made to load a resource, but the resource did not match the integrity defined by the policy manifest.
Errors.legacy_node.js_error_codes.`err_manifest_dependency_missing`	2480319	606	module	An attempt was made to load a resource, but the resource was not listed as a dependency from the location that attempted to load it.
Errors.legacy_node.js_error_codes.`err_manifest_integrity_mismatch`	2480925	674	module	An attempt was made to load a policy manifest, but the manifest had multiple entries for a resource which did not match each other.
Errors.legacy_node.js_error_codes.`err_manifest_invalid_resource_field`	2481599	560	module	A policy manifest resource had an invalid value for one of its fields.
Errors.legacy_node.js_error_codes.`err_manifest_invalid_specifier`	2482159	563	module	A policy manifest resource had an invalid value for one of its dependency mappings.
Errors.legacy_node.js_error_codes.`err_manifest_parse_policy`	2482722	499	module	An attempt was made to load a policy manifest, but the manifest was unable to be parsed.
Errors.legacy_node.js_error_codes.`err_manifest_tdz`	2483221	480	module	An attempt was made to read from a policy manifest, but the manifest initialization has not yet taken place.
Errors.legacy_node.js_error_codes.`err_manifest_unknown_onerror`	2483701	500	module	A policy manifest was loaded, but had an unknown value for its "onerror" behavior.
Errors.legacy_node.js_error_codes.`err_missing_message_port_in_transfer_list`	2484201	670	module	This error code was replaced by ERR_MISSING_TRANSFERABLE_IN_TRANSFER_LIST in Node.js v15.0.0, because it is no longer accurate as other types of transferable objects also exist now.
Errors.legacy_node.js_error_codes.`err_missing_transferable_in_transfer_list`	2484871	916	module	An object that needs to be explicitly listed in the transferList argument is in the object passed to a postMessage() call, but is not provided in the transferList for that call.
Errors.legacy_node.js_error_codes.`err_napi_cons_prototype_object`	2485787	401	module	Used by the Node-API when Constructor.prototype is not an object.
Errors.legacy_node.js_error_codes.`err_napi_tsfn_start_idle_loop`	2486188	576	module	On the main thread, values are removed from the queue associated with the thread-safe function in an idle loop.
Errors.legacy_node.js_error_codes.`err_napi_tsfn_stop_idle_loop`	2486764	474	module	Once no more items are left in the queue, the idle loop must be suspended.
Errors.legacy_node.js_error_codes.`err_no_longer_supported`	2487238	468	module	A Node.js API was called in an unsupported manner, such as Buffer.write(string, encoding, offset[, length]).
Errors.legacy_node.js_error_codes.`err_outofmemory`	2487706	390	module	Used generically to identify that an operation caused an out of memory condition.
Errors.legacy_node.js_error_codes.`err_parse_history_data`	2488096	393	module	The node:repl module was unable to parse data from the REPL history file.
Errors.legacy_node.js_error_codes.`err_socket_cannot_send`	2488489	317	module	Data could not be sent on a socket.
Errors.legacy_node.js_error_codes.`err_stderr_close`	2488806	426	module	An attempt was made to close the process.stderr stream.
Errors.legacy_node.js_error_codes.`err_stdout_close`	2489232	426	module	An attempt was made to close the process.stdout stream.
Errors.legacy_node.js_error_codes.`err_stream_read_not_implemented`	2489658	468	module	Used when an attempt is made to use a readable stream that has not implemented readable._read().
Errors.legacy_node.js_error_codes.`err_tap_lexer_error`	2490126	326	module	An error representing a failing lexer state.
Errors.legacy_node.js_error_codes.`err_tap_parser_error`	2490452	426	module	An error representing a failing parser state.
Errors.legacy_node.js_error_codes.`err_tap_validation_error`	2490878	345	module	This error represents a failed TAP validation.
Errors.legacy_node.js_error_codes.`err_tls_renegotiation_failed`	2491223	407	module	Used when a TLS renegotiation request has failed in a non-specific way.
Errors.legacy_node.js_error_codes.`err_transferring_externalized_sharedarraybuffer`	2491630	772	module	A SharedArrayBuffer whose memory is not managed by the JavaScript engine or by Node.js was encountered during serialization.
Errors.legacy_node.js_error_codes.`err_unknown_stdin_type`	2492402	531	module	An attempt was made to launch a Node.js process with an unknown stdin file type.
Errors.legacy_node.js_error_codes.`err_unknown_stream_type`	2492933	556	module	An attempt was made to launch a Node.js process with an unknown stdout or stderr file type.
